PRIMER DÍGITO;SEGUNDO DÍGITO;CUENTA ALTERNATIVA A 6 DÍGITOS;CUENTA OPERATIVA;CONCEPTO;SALDO FULL IFRS;DIVISA
1;12;122005;;COMPROMISOS DE TRANSFERENCIA DE INVERSIONES EN OPERACIONES SIMULTÁNEAS;0,00;USD
1;12;122010;;CUPONES POR RECIBIR DE VALORES EN OPERACIONES SIMULTÁNEAS;0,00;USD
1;12;122015;;CUENTAS POR COBRAR POR INCUMPLIMIENTO O TERMINACIÓN ANTICIPADA EN OPERACIONES SIMULTÁNEAS;0,00;USD
1;12;122020;;LLAMADO AL MARGEN ENTREGADO EN DINERO EN OPERACIONES SIMULTÁNEAS;0,00;USD
1;12;122505;;COMPROMISOS ORIGINADOS EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0,00;USD
1;12;122510;;RENDIMIENTOS POR COBRAR DE COMPROMISOS EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0,00;USD
1;12;122515;;CUPONES POR RECIBIR DE VALORES EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0,00;USD
1;12;122520;;CUENTAS POR COBRAR POR INCUMPLIMIENTO O TERMINACIÓN ANTICIPADA EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0,00;USD
1;12;122525;;LLAMADO AL MARGEN EN OPERACIONES DE TRANSFERENCIA TEMPORAL DE VALORES;0,00;USD
1;12;123005;;BANCOS;0,00;USD
1;12;123010;;CORPORACIONES FINANCIERAS;0,00;USD
1;12;123020;;COMPAÑÍAS DE FINANCIAMIENTO COMERCIAL;0,00;USD
1;12;123025;;OTRAS ENTIDADES FINANCIERAS;0,00;USD
1;12;123095;;OTRAS;0,00;USD
1;12;1285;;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA;0,00;USD
1;12;128500;;DERECHOS DE RECOMPRA DE CARTERA NEGOCIADA;0,00;USD
1;13;130105;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;130110;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;3.396.794,86;USD
1;13;130115;;OTROS EMISORES NACIONALES;1.893.992,84;USD
1;13;130120;;EMISORES EXTRANJEROS;50.017.557,93;USD
1;13;130205;;EMISORES NACIONALES;0,00;USD
1;13;130210;;EMISORES EXTRANJEROS;7.107.391,28;USD
1;13;130305;;TITULOS DE TESORERÍA - TES;0,00;USD
1;13;130310;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;0,00;USD
1;13;130315;;OTROS EMISORES NACIONALES;0,00;USD
1;13;130320;;EMISORES EXTRANJEROS;422.909.248,70;USD
1;13;130405;;EMISORES NACIONALES;0,00;USD
1;13;130410;;EMISORES EXTRANJEROS;30.688.439,20;USD
1;13;130505;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;130510;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;0,00;USD
1;13;130515;;OTROS EMISORES NACIONALES;0,00;USD
1;13;130520;;EMISORES EXTRANJEROS;0,00;USD
1;13;130605;;EMISORES NACIONALES;0,00;USD
1;13;130610;;EMISORES EXTRANJEROS;0,00;USD
1;13;130705;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;130710;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;0,00;USD
1;13;130715;;OTROS EMISORES NACIONALES;0,00;USD
1;13;130720;;EMISORES EXTRANJEROS;0,00;USD
1;13;130805;;EMISORES NACIONALES;0,00;USD
1;13;130810;;EMISORES EXTRANJEROS;0,00;USD
1;13;130905;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;130910;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;0,00;USD
1;13;130915;;OTROS EMISORES NACIONALES;0,00;USD
1;13;130920;;EMISORES EXTRANJEROS;0,00;USD
1;13;131005;;EMISORES NACIONALES;0,00;USD
1;13;131010;;EMISORES EXTRANJEROS;0,00;USD
1;13;131105;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;131110;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;0,00;USD
1;13;131115;;OTROS EMISORES NACIONALES;0,00;USD
1;13;131120;;EMISORES EXTRANJEROS;0,00;USD
1;13;131205;;EMISORES NACIONALES;0,00;USD
1;13;131210;;EMISORES EXTRANJEROS;0,00;USD
1;13;131305;;EMISORES NACIONALES;0,00;USD
1;13;131310;;EMISORES EXTRANJEROS;0,00;USD
1;13;131405;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;131410;;OTROS TÍTULOS EMITIDOS POR EL GOBIERNO NACIONAL;0,00;USD
1;13;131415;;OTROS EMISORES NACIONALES;0,00;USD
1;13;131420;;EMISORES EXTRANJEROS;0,00;USD
1;13;131505;;SUBSIDIARIAS Y FILIALES NACIONALES;0,00;USD
1;13;131510;;SUBSIDIARIAS Y FILIALES EXTRANJERAS;0,00;USD
1;13;131605;;ASOCIADAS NACIONALES;0,00;USD
1;13;131610;;ASOCIADAS EXTRANJERAS;0,00;USD
1;13;131705;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;131710;;OTROS TÍTULOS DE DEUDA PÚBLICA;0,00;USD
1;13;131715;;OTROS EMISORES NACIONALES;0,00;USD
1;13;131720;;EMISORES EXTRANJEROS;856.992.378,10;USD
1;13;131800;;INVERSIONES PATRIMONIALES EN ENTIDADES EN LIQUIDACIÓN;0,00;USD
1;13;131900;;INVERSIONES EN TÍTULOS SOBRE PRODUCTOS Y EN PRODUCTOS AGROPECUARIOS Y AGROINDUSTRIALES  - MERCADO SECUNDARIO ;0,00;USD
1;13;132005;;NEGOCIOS CONJUNTOS NACIONALES;0,00;USD
1;13;132010;;NEGOCIOS CONJUNTOS EXTRANJEROS;0,00;USD
1;13;132015;;OPERACIONES CONJUNTAS NACIONALES;0,00;USD
1;13;132020;;OPERACIONES CONJUNTAS EXTRANJERAS;0,00;USD
1;13;132105;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;132110;;OTROS TÍTULOS DE DEUDA PÚBLICA;0,00;USD
1;13;132115;;OTROS EMISORES NACIONALES;0,00;USD
1;13;132120;;EMISORES EXTRANJEROS;0,00;USD
1;13;132205;;TÍTULOS DE TESORERÍA –TES;0,00;USD
1;13;132210;;OTROS TÍTULOS DE DEUDA PÚBLICA;0,00;USD
1;13;132215;;OTROS EMISORES NACIONALES;0,00;USD
1;13;132220;;EMISORES EXTRANJEROS;0,00;USD
1;13;132305;;INVERSIONES  OBLIGATORIAS  EN INSTRUMENTOS DE PATRIMONIO;0,00;USD
1;13;132310;;OTRAS;0,00;USD
1;13;132505;;EMISORES NACIONALES;0,00;USD
1;13;132510;;EMISORES EXTRANJEROS;0,00;USD
1;13;135005;;DERECHOS EN COMPROMISOS DE COMPRA;0,00;USD
1;13;135010;;DERECHOS EN COMPROMISOS DE VENTA;0,00;USD
1;13;135015;;OBLIGACIONES EN COMPROMISOS DE COMPRA;0,00;USD
1;13;135020;;OBLIGACIONES EN COMPROMISOS DE VENTA;0,00;USD
1;13;135105;;DERECHOS DE COMPRA SOBRE DIVISAS;4.342.548,94;USD
1;13;135110;;DERECHOS DE VENTA SOBRE DIVISAS;1.978.913,53;USD
1;13;135115;;DERECHOS DE COMPRA SOBRE TÍTULOS;0,00;USD
1;13;135120;;DERECHOS DE VENTA SOBRE TÍTULOS;377.093,03;USD
1;13;135125;;DERECHOS – OTROS;0,00;USD
1;13;135130;;OBLIGACIONES DE COMPRA SOBRE DIVISAS;-4.324.907,95;USD
1;13;135135;;OBLIGACIONES DE VENTA SOBRE DIVISAS;-1.973.463,77;USD
1;13;135140;;OBLIGACIONES DE COMPRA SOBRE TÍTULOS;0,00;USD
1;13;135145;;OBLIGACIONES DE VENTA SOBRE TÍTULOS;-376.224,23;USD
1;13;135195;;OBLIGACIONES – OTROS;0,00;USD
1;13;135205;;DE MONEDAS (PESO/DÓLAR);665.809,45;USD
1;13;135210;;DE MONEDAS (DIFERENTES PESO/DÓLAR);-0,00;USD
1;13;135215;;DE TASAS DE INTERÉS;0,00;USD
1;13;135220;;DE TÍTULOS;0,00;USD
1;13;135295;;OTROS;0,00;USD
1;13;135305;;DE MONEDAS;0,00;USD
1;13;135310;;DE TASAS DE INTERÉS;0,00;USD
1;13;135315;;DE TÍTULOS;0,00;USD
1;13;135320;;DE ÍNDICES;0,00;USD
1;13;135395;;OTROS;0,00;USD
1;13;135405;;DE MONEDAS;0,00;USD
1;13;135410;;DE TASAS DE INTERÉS;2.406.839,92;USD
1;13;135495;;OTROS;0,00;USD
1;13;135505;;COMPRA CALLS DE MONEDAS;0,00;USD
1;13;135510;;COMPRA CALLS DE TASAS DE INTERÉS;0,00;USD
1;13;135515;;COMPRA CALLS DE TÍTULOS;0,00;USD
1;13;135520;;COMPRA CALLS DE ÍNDICES;0,00;USD
1;13;135525;;COMPRA CALLS – OTRAS;0,00;USD
1;13;135530;;COMPRA PUTS DE MONEDAS;0,00;USD
1;13;135535;;COMPRA PUTS DE TASAS DE INTERÉS;0,00;USD
1;13;135540;;COMPRA PUTS DE TÍTULOS;0,00;USD
1;13;135545;;COMPRA PUTS DE ÍNDICES;0,00;USD
1;13;135550;;COMPRA PUTS – OTRAS;0,00;USD
1;13;135605;;DE MONEDAS (PESO/DÓLAR);0,00;USD
1;13;135610;;DE MONEDAS (DIFERENTES PESO/DÓLAR);0,00;USD
1;13;135615;;DE TASAS DE INTERÉS;0,00;USD
1;13;135620;;DE TÍTULOS;0,00;USD
1;13;135695;;OTROS;0,00;USD
1;13;135705;;DE MONEDAS;0,00;USD
1;13;135710;;DE INTERÉS;0,00;USD
1;13;135715;;DE TÍTULOS;0,00;USD
1;13;135720;;DE ÍNDICES;0,00;USD
1;13;135795;;OTROS;0,00;USD
1;13;135805;;DE MONEDAS;0,00;USD
1;13;135810;;DE TASAS DE INTERÉS;0,00;USD
1;13;135895;;OTROS;0,00;USD
1;13;135905;;COMPRA CALLS DE MONEDAS;0,00;USD
1;13;135910;;COMPRA CALLS DE TASAS DE INTERÉS;0,00;USD
1;13;135915;;COMPRA CALLS DE TÍTULOS;0,00;USD
1;13;135920;;COMPRA CALLS DE ÍNDICES;0,00;USD
1;13;135925;;COMPRA CALLS – OTRAS;0,00;USD
1;13;135930;;COMPRA PUTS DE MONEDAS;0,00;USD
1;13;135935;;COMPRA PUTS DE TASAS DE INTERÉS;0,00;USD
1;13;135940;;COMPRA PUTS DE TÍTULOS;0,00;USD
1;13;135945;;COMPRA PUTS DE ÍNDICES;0,00;USD
1;13;135950;;COMPRA PUTS – OTRAS;0,00;USD
1;13;136000;;IINVERSIONES DERECHOS FIDUCIARIOS;0,00;USD
1;13;138005;;PORTAFOLIO  EN ADMINISTRACION;0,00;USD
1;13;138010;;OTRAS;0,00;USD
1;13;138105;;DERECHOS ESPECIALES DE GIRO;0,00;USD
1;13;138110;;PESOS ANDINOS;0,00;USD
1;13;138115;;CONVENIOS INTERNACIONALES;0,00;USD
1;13;138120;;COMPENSACIONES PENDIENTES DE PAGO - VENCIDAS;0,00;USD
1;13;138195;;OTROS;0,00;USD
1;13;138205;;FONDO MONETARIO INTERNACIONAL;0,00;USD
1;13;138210;;FONDO LATINOAMERICANO DE RESERVAS;0,00;USD
1;13;138215;;ASOCIACION INTERNACIONAL DE FOMENTO;0,00;USD
1;13;138220;;BANCO INTERAMERICANO DE DESARROLLO;0,00;USD
1;13;138225;;BANCO MUNDIAL (BIRF);0,00;USD
1;13;138230;;BANCO DE DESARROLLO DEL CARIBE;0,00;USD
1;13;138235;;CORPORACION ANDINA DE FOMENTO;0,00;USD
1;13;138240;;CORPORACION FINANCIERA INTERNACIONAL;0,00;USD
1;13;138245;;CORPORACION INTERAMERICANA DE INVERSION;0,00;USD
1;13;138250;;BANCO DE PAGOS INTERNACIONALES - BPI;0,00;USD
1;13;139005;;INSTRUMENTOS DE DEUDA;-4.285.674,45;USD
1;13;139010;;INSTRUMENTOS DE PATRIMONIO;0,00;USD
1;13;139500;;DETERIORO EN INVERSIONES A VALOR RAZONABLE CON CAMBIOS EN EL ORI;0,00;USD
1;14;140205;;CATEGORÍA A RIESGO NORMAL;0,00;USD
1;14;140210;;CATEGORÍA B RIESGO ACEPTABLE;0,00;USD
1;14;140215;;CATEGORÍA C RIESGO APRECIABLE;0,00;USD
1;14;140220;;CATEGORÍA D RIESGO SIGNIFICATIVO;0,00;USD
1;14;140225;;CATEGORÍA E RIESGO DE INCOBRABILIDAD;0,00;USD
1;14;140405;;CATEGORÍA A RIESGO NORMAL CARTERA DE VIVIENDA;2.060.852.079,22;USD
1;14;140410;;CATEGORÍA A RIESGO NORMAL LEASING HABITACIONAL;0,00;USD
1;14;140415;;CATEGORÍA B RIESGO ACEPTABLE CARTERA DE VIVIENDA;123.657.296,97;USD
1;14;140420;;CATEGORÍA B RIESGO ACEPTABLE LEASING HABITACIONAL;0,00;USD
1;14;140425;;CATEGORÍA C RIESGO APRECIABLE CARTERA DE VIVIENDA;62.291.935,28;USD
1;14;140430;;CATEGORÍA C RIESGO APRECIABLE LEASING HABITACIONAL;0,00;USD
1;14;140435;;CATEGORÍA D RIESGO SIGNIFICATIVO CARTERA DE VIVIENDA;0,00;USD
1;14;140440;;CATEGORÍA D RIESGO SIGNIFICATIVO LEASING HABITACIONAL;0,00;USD
1;14;140445;;CATEGORÍA E RIESGO DE INCOBRABILIDAD CARTERA DE VIVIENDA;47.205.782,71;USD
1;14;140450;;CATEGORÍA E RIESGO DE INCOBRABILIDAD LEASING HABITACIONAL;0,00;USD
1;14;140505;;PLANES TRADICIONALES;0,00;USD
1;14;140510;;PLANES EN UVR;0,00;USD
1;14;140605;;CON GARANTÍA HIPOTECARIA;0,00;USD
1;14;140610;;CON GARANTÍA PRENDARIA;0,00;USD
1;14;140805;;CATEGORÍA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING DE CONSUMO;589.185.056,39;USD
1;14;140810;;CATEGORÍA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEASING DE CONSUMO;552.450.003,93;USD
1;14;140815;;CATEGORÍA C RIESGO APRECIABLE CARTERA Y OPERACIONES DE LEASING DE CONSUMO;164.790.853,38;USD
1;14;140820;;CATEGORÍA D RIESGO SIGNIFICATIVO CARTERA  Y OPERACIONES DE LEASING DE CONSUMO;7.250.545,71;USD
1;14;140825;;CATEGORÍA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES DE LEASING DE CONSUMO;55.430.587,04;USD
1;14;141005;;CATEGORÍA A RIESGO NORMAL CARTERA Y OPERACIONES DE LEASING COMERCIALES;1.774.604.312,09;USD
1;14;141010;;CATEGORÍA B RIESGO ACEPTABLE CARTERA Y OPERACIONES DE LEASING COMERCIALES;1.028.972.859,56;USD
1;14;141015;;CATEGORÍA C RIESGO APRECIABLE, CARTERA Y OPERACIONES  DE LEASING COMERCIALES;378.520.171,82;USD
1;14;141020;;CATEGORÍA D RIESGO SIGNIFICATIVO CARTERA  Y OPERACIONES DE LEASING COMERCIALES;10.351.712,66;USD
1;14;141025;;CATEGORÍA E RIESGO DE INCOBRABILIDAD CARTERA Y OPERACIONES DE LEASING COMERCIALES;517.724.047,96;USD
1;14;141205;;CATEGORÍA A RIESGO NORMAL;9.923.339,00;USD
1;14;141210;;CATEGORÍA B RIESGO ACEPTABLE;81.207.295,98;USD
1;14;141215;;CATEGORÍA C RIESGO APRECIABLE;25.650.714,54;USD
1;14;141220;;CATEGORÍA D RIESGO SIGNIFICATIVO;6.019.121,33;USD
1;14;141225;;CATEGORÍA E RIESGO DE INCOBRABILIDAD;10.293.710,19;USD
1;14;1413;;OTRA CARTERA DE CRÈDITOS ADMINISTRADA EN NEGOCIOS FIDUCIARIOS;0,00;USD
1;14;141300;;OTRA CARTERA DE CRÈDITOS ADMINISTRADA EN NEGOCIOS FIDUCIARIOS;0,00;USD
1;14;141405;;CATEGORÍA A RIESGO NORMAL, VIVIENDA;76.341.863,81;USD
1;14;141410;;CATEGORÍA B RIESGO ACEPTABLE, VIVIENDA;592.138,16;USD
1;14;141415;;CATEGORÍA C RIESGO APRECIABLE, VIVIENDA;416.273,96;USD
1;14;141420;;CATEGORÍA D RIESGO SIGNIFICATIVO, VIVIENDA;0,00;USD
1;14;141425;;CATEGORÍA E RIESGO DE INCOBRABILIDAD, VIVIENDA;0,00;USD
1;14;141430;;CATEGORÍA A RIESGO NORMAL, LEASING HABITACIONAL;0,00;USD
1;14;141435;;CATEGORÍA B RIESGO ACEPTABLE, LEASING HABITACIONAL;0,00;USD
1;14;141440;;CATEGORÍA C RIESGO APRECIABLE, LEASING HABITACIONAL;0,00;USD
1;14;141445;;CATEGORÍA D RIESGO SIGNIFICATIVO, LEASING HABITACIONAL;0,00;USD
1;14;141450;;CATEGORÍA E RIESGO DE INCOBRABILIDAD, LEASING HABITACIONAL;0,00;USD
1;14;141460;;CATEGORÍA A RIESGO NORMAL, CONSUMO;10.871.560,32;USD
1;14;141465;;CATEGORÍA B RIESGO ACEPTABLE, CONSUMO;17.392.790,80;USD
1;14;141470;;CATEGORÍA C RIESGO APRECIABLE, CONSUMO;2.043.034,24;USD
1;14;141475;;CATEGORÍA D RIESGO SIGNIFICATIVO, CONSUMO;35.060,49;USD
1;14;141480;;CATEGORÍA E RIESGO DE INCOBRABILIDAD, CONSUMO;323.226,72;USD
1;14;141605;;VIVIENDA;0,00;USD
1;14;141610;;CONSUMO;0,00;USD
1;14;141615;;MICROCRÉDITO;0,00;USD
1;14;141620;;COMERCIAL;0,00;USD
1;14;142005;;VIDA;0,00;USD
1;14;142010;;DE AHORRO CON PARTICIPACIÓN;0,00;USD
1;14;142015;;EMITIDAS EN UVR;0,00;USD
1;14;142405;;POR FINANCIACIÓN DE PRIMAS;0,00;USD
1;14;142495;;OTROS;0,00;USD
1;14;1487;;DETERIORO COMPONENTE CONTRACÍCLICO INDIVIDUAL;0,00;USD
1;14;148705;;CRÉDITOS Y OPERACIONES DE LEASING DE CONSUMO;0,00;USD
1;14;148710;;CRÉDITOS Y OPERACIONES DE LEASING COMERCIALES;0,00;USD
1;14;148805;;CATEGORÍA A RIESGO NORMAL, VIVIENDA;-281.753,14;USD
1;14;148810;;CATEGORÍA B RIESGO ACEPTABLE, VIVIENDA;-21.076,92;USD
1;14;148815;;CATEGORÍA C RIESGO APRECIABLE, VIVIENDA;-49.464,87;USD
1;14;148820;;CATEGORÍA D RIESGO SIGNIFICATIVO, VIVIENDA;0,00;USD
1;14;148825;;CATEGORÍA E RIESGO DE INCOBRABILIDAD, VIVIENDA;0,00;USD
1;14;148830;;CATEGORÍA A RIESGO NORMAL, LEASING HABITACIONAL;0,00;USD
1;14;148835;;CATEGORÍA B RIESGO ACEPTABLE, LEASING HABITACIONAL;0,00;USD
1;14;148840;;CATEGORÍA C RIESGO APRECIABLE, LEASING HABITACIONAL;0,00;USD
1;14;148845;;CATEGORÍA D RIESGO SIGNIFICATIVO, LEASING HABITACIONAL;0,00;USD
1;14;148850;;CATEGORÍA E RIESGO DE INCOBRABILIDAD, LEASING HABITACIONAL;0,00;USD
1;14;148860;;CATEGORÍA A RIESGO NORMAL, CONSUMO;-535.398,79;USD
1;14;148865;;CATEGORÍA B RIESGO ACEPTABLE, CONSUMO;-2.412.815,29;USD
1;14;148870;;CATEGORÍA C RIESGO APRECIABLE, CONSUMO;-804.165,82;USD
1;14;148875;;CATEGORÍA D RIESGO SIGNIFICATIVO, CONSUMO;-21.112,35;USD
1;14;148880;;CATEGORÍA E RIESGO DE INCOBRABILIDAD, CONSUMO;-229.533,66;USD
1;14;148905;;CATEGORÍA A - CRÉDITO NORMAL CARTERA DE VIVIENDA;-10.167.211,65;USD
1;14;148910;;CATEGORÍA A - CRÉDITO NORMAL LEASING HABITACIONAL;0,00;USD
1;14;148915;;CATEGORÍA B - CRÉDITO ACEPTABLE CARTERA DE VIVIENDA;-3.438.809,96;USD
1;14;148920;;CATEGORÍA B - CRÉDITO ACEPTABLE LEASING HABITACIONAL;0,00;USD
1;14;148925;;CATEGORÍA C - CRÉDITO APRECIABLE CARTERA DE VIVIENDA;-8.139.829,16;USD
1;14;148930;;CATEGORÍA C - CRÉDITO APRECIABLE  LEASING HABITACIONAL;0,00;USD
1;14;148935;;CATEGORÍA D - CRÉDITO SIGNIFICATIVO CARTERA DE VIVIENDA;0,00;USD
1;14;148940;;CATEGORÍA D - CRÉDITO SIGNIFICATIVO LEASING HABITACIONAL;0,00;USD
1;14;148945;;CATEGORÍA E -  CRÉDITO IRRECUPERABLE CARTERA DE VIVIENDA;-8.223.254,50;USD
1;14;148950;;CATEGORÍA E -  CRÉDITO IRRECUPERABLE  LEASING HABITACIONAL;0,00;USD
1;14;149105;;CATEGORÍA A - CRÉDITO NORMAL CARTERA DE CONSUMO;-11.804.644,24;USD
1;14;149110;;CATEGORÍA B - CRÉDITO ACEPTABLE CARTERA DE CONSUMO ;-57.111.609,75;USD
1;14;149115;;CATEGORÍA C - CRÉDITO APRECIABLE CARTERA DE CONSUMO;-57.243.992,60;USD
1;14;149120;;CATEGORÍA D - CRÉDITO SIGNIFICATIVO CARTERA DE CONSUMO;-3.787.307,51;USD
1;14;149125;;CATEGORÍA E - CRÉDITO IRRECUPERABLE CARTERA DE CONSUMO;-40.688.225,51;USD
1;14;149305;;CATEGORÍA A - CRÉDITO NORMAL;-46.120,40;USD
1;14;149310;;CATEGORÍA B - CRÉDITO ACEPTABLE;-1.148.775,99;USD
1;14;149315;;CATEGORÍA C - CRÉDITO APRECIABLE;-1.389.439,91;USD
1;14;149320;;CATEGORÍA D - CRÉDITO SIGNIFICATIVO;-828.723,37;USD
1;14;149325;;CATEGORÍA E -  CRÉDITO IRRECUPERABLE;-7.135.063,02;USD
1;14;149400;;DETERIORO (PROVISIÓN) OTRA CARTERA DE CRÉDITO ADMNISTRADA A TRAVÉS DE NEGOCIOS FIDUCIARIOS;0,00;USD
1;14;149505;;CATEGORÍA A - CRÉDITO NORMAL;-7.393.004,66;USD
1;14;149510;;CATEGORÍA B - CRÉDITO ACEPTABLE;-15.903.023,38;USD
1;14;149515;;CATEGORÍA C - CRÉDITO APRECIABLE;-17.377.526,88;USD
1;14;149520;;CATEGORÍA D - CRÉDITO SIGNIFICATIVO;-1.544.146,57;USD
1;14;149525;;CATEGORÍA E -  CRÉDITO IRRECUPERABLE;-152.204.726,71;USD
1;14;149605;;PLANES TRADICIONALES;0,00;USD
1;14;149610;;PLANES EN UVR;0,00;USD
1;14;149705;;CON GARANTÍA HIPOTECARIA;0,00;USD
1;14;149710;;CON GARANTÍA PRENDARIA;0,00;USD
1;14;149805;;VIVIENDA Y LEASING HABITACIONAL;0,00;USD
1;14;149810;;MICROCREDITO;0,00;USD
1;14;149815;;CONSUMO;0,00;USD
1;14;149820;;COMERCIAL;0,00;USD
1;14;149830;;PROVISIÓN GENERAL GLOBAL;-88.486.968,08;USD
1;14;149905;;SOBRE PÓLIZAS;0,00;USD
1;14;149910;;POR FINANCIACIÓN DE PRIMAS;0,00;USD
1;14;149995;;OTROS;0,00;USD
1;15;150500;;MATERIAS PRIMAS ;0,00;USD
1;15;151000;;BIENES PRODUCIDOS;0,00;USD
1;15;151500;;PRODUCTOS EN PROCESO ;0,00;USD
1;15;152005;;COSTO TERRENOS;0,00;USD
1;15;152010;;COSTOS DIRECTOS PRELIMINARES;0,00;USD
1;15;152015;;COSTOS DIRECTOS OBRA;0,00;USD
1;15;152020;;COSTOS INDIRECTOS PLANOS, LICENCIAS Y ESTUDIOS;0,00;USD
1;15;152025;;COSTOS INDIRECTOS PUBLICIDAD;0,00;USD
1;15;152030;;COSTOS INDIRECTOS COMISIONES FIDUCIARIAS;0,00;USD
1;15;152035;;OTROS COSTOS INDIRECTOS;0,00;USD
1;15;152500;;OBRAS DE URBANISMO ;0,00;USD
1;15;153000;;CONTRATOS EN EJECUCIÓN ;0,00;USD
1;15;153500;;CULTIVOS EN DESARROLLO ;0,00;USD
1;15;154000;;PRODUCTOS TERMINADOS ;0,00;USD
1;15;154500;;MERCANCÍAS NO FABRICADAS POR LA EMPRESA ;0,00;USD
1;15;155000;;BIENES RAÍCES PARA LA VENTA ;0,00;USD
1;15;155500;;SEMOVIENTES ;0,00;USD
1;15;156000;;TERRENOS ;0,00;USD
1;15;156500;;MATERIALES, REPUESTOS Y ACCESORIOS ;0,00;USD
1;15;157000;;ENVASES Y EMPAQUES ;0,00;USD
1;15;157500;;INVENTARIOS EN TRANSITO ;0,00;USD
1;15;158000;;INVENTARIOS EN PODER DE TERCEROS;0,00;USD
1;15;158500;;INVENTARIOS DE OPERACIONES CONJUNTAS;0,00;USD
1;15;158705;;ORO;0,00;USD
1;15;158710;;PLATA;0,00;USD
1;15;158715;;PLATINO;0,00;USD
